Country_Year,Happiness,GDP,Family,Health,Freedom,Generosity,Trust_gov
Cambodia_2016,0.2168361826444493,0.30480137260383605,0.4542535030339908,0.4460048070363256,0.967196949776492,0.16017101799251796,0.4921130643764258
Angola_2016,0.20796364423285008,0.4644652381500545,0.5608741950205365,0.05238410109470281,0.009679858006836708,0.16694048019635396,0.1472593966158763
Niger_2016,0.20579961047392348,0.07274142533725819,0.5115528286259994,0.2745888304627559,0.6251807783328951,0.3399774351259872,0.2558221810152371
Chad_2016,0.18567409651590566,0.2314021499010563,0.5339316802731437,0.04013560460551864,0.2104752826715751,0.09801864571168424,0.22772687901818936
Burkina Faso_2016,0.1804804154944817,0.17538522258218356,0.5328837280056792,0.22352718914323494,0.5484157244280831,0.2480750578967162,0.2970928743092069
Uganda_2016,0.1804804154944817,0.1903172227795228,0.7689011713401958,0.205978357840822,0.7174105968971864,0.12751133192137926,0.330629124934428
Yemen_2016,0.17723436485609173,0.3176010130079429,0.40137416966685263,0.3258708817448072,0.3758545884827767,0.11662476989766632,0.11981066474728867
Madagascar_2016,0.17095866695520448,0.15323389629824533,0.3897283775332556,0.38948539521605424,0.22488824612148306,0.1485718809999802,0.2688755779482988
Tanzania_2016,0.16468296905431734,0.2584869564264062,0.6560096682047901,0.3746969363015208,0.5219563502498028,0.1009283268343857,0.3839406619414183
Liberia_2016,0.15516122051504005,0.058686488293947715,0.4255446816422426,0.2431331800959308,0.4231527741256903,0.0960392707982819,0.2935550377572556
Guinea_2016,0.15191516987665005,0.12287106623471306,0.26274867738282376,0.19762377068967327,0.5086937943728636,0.23594148967755985,0.3649339400519696
Rwanda_2016,0.13200605929452505,0.18005010223267387,0.5204773253553742,0.33444587885848626,0.8927162766237181,1.0,0.2873211257639897
Benin_2016,0.12529755464185244,0.2165194845061312,0.08805334415090513,0.2207038424803468,0.6532178543255325,0.13224203796441086,0.2461846262702663
Afghanistan_2016,0.09846353603116208,0.2095468324316028,0.0932762030323006,0.18203763762503014,0.27001709176965555,0.14077314384117495,0.3814519769186664
Togo_2016,0.08612854360528026,0.1541602942546882,0.0,0.2604091228733062,0.5699119116486985,0.22935017121593,0.21369752717424453
Burundi_2016,0.0,0.037445115032314284,0.198113685918564,0.16527598476022545,0.0709965816460689,0.18643732309336708,0.2475265642727306
Norway_2017,1.0,0.8640650170265683,0.9521596355538668,0.8390446381787036,0.965323020252491,0.4319567673226292,0.6805051405737154
Denmark_2017,0.9969033148204571,0.7923937368732289,0.9630861951993716,0.8347255110362377,0.9510186008522602,0.4239243748901183,0.8631560380559575
Iceland_2017,0.9931874501069524,0.7914582951000164,1.0,0.8778923628794993,0.95277464372966,0.567419538101163,0.3306568711975876
Switzerland_2017,0.9911229933205888,0.8365449317917664,0.9418454156382674,0.9037790024117632,0.9420005107039578,0.34668642120289817,0.7904396548714014
Finland_2017,0.9859619497934003,0.7716476392202433,0.9563340264745732,0.8522002639198045,0.9387802687172094,0.2929125978409977,0.8240472274484351
Netherlands_2017,0.9669693804892194,0.8039192971187383,0.8872235718746815,0.8538205565040551,0.8893060040313022,0.5613933590734025,0.6087811458893886
Canada_2017,0.954376509096304,0.7906946483554538,0.919764621137644,0.8789513817434063,0.9283739512006076,0.5196905274381517,0.6189246131347274
New Zealand_2017,0.9539636571145192,0.7514067948247372,0.9612691605046612,0.86020668507698,0.9328725829848658,0.5966113175513252,0.8244890877702514
Sweden_2017,0.9477703851941486,0.7988104978487369,0.9177859340834376,0.8750729997961688,0.9311437052115356,0.4598623967395912,0.8278963674511457
Australia_2017,0.9477703851941486,0.7934798816296557,0.9375799842403771,0.8887767792254525,0.9139515446983688,0.5699957142556403,0.6486725832987581
Israel_2017,0.9331130570148696,0.7351975897718227,0.8545338231656432,0.8830023329174882,0.6167708750242235,0.39385805751232794,0.18358964205976214
Costa Rica_2017,0.905450005460888,0.5931829362166331,0.8794402772249168,0.7999108465565781,0.8813259830598413,0.2560787373596853,0.21560394359695406
Austria_2017,0.8903798252998238,0.7949136946636464,0.9064749319675988,0.8586992624344791,0.8625405891929974,0.37761806635407663,0.47610738515226
United States_2017,0.8876960905407836,0.8265381899838894,0.8816239163777654,0.8154742806879586,0.7683122683043007,0.4684290847994195,0.2921311955441173
Ireland_2017,0.8843930778090636,0.8208973741359278,0.9675004740766344,0.8528584626624284,0.870659333295907,0.5105250015504345,0.6426516266416344
Germany_2017,0.8790256082909824,0.7953552894516827,0.9142829481778356,0.8414503749849572,0.8545575800600897,0.40123987167517017,0.5960096880635577
Belgium_2017,0.8666390644502413,0.7824500800350735,0.9079450506325708,0.8616097124396545,0.8200103589596857,0.2762321906198953,0.5413287030000291
Luxembourg_2017,0.8608587429503731,0.9311393782753192,0.905008810201628,0.8900434586940891,0.9063867876177838,0.3378944933092318,0.6866876548179975
United Kingdom_2017,0.8300991046555665,0.7706117075508223,0.9291470454700568,0.8481752389336759,0.7720335253604358,0.5879832521701827,0.571664044431481
Chile_2017,0.8172997088330405,0.6696640948390128,0.7972467879365288,0.8630713719077757,0.5725727979513887,0.3897769990515313,0.1772272289170236
United Arab Emirates_2017,0.8164739064307509,0.8693463759915168,0.7863098659602914,0.7654597764610177,0.9241876275628016,0.4306796852019061,0.6988673766899035
Brazil_2017,0.8137902701104284,0.5919251238759399,0.8886930984064664,0.6493494378693964,0.6645721767760093,0.19371758310190598,0.23926534238654845
Czech Republic_2017,0.8084228005923452,0.7230634825961937,0.8902945226052024,0.794576141039467,0.745836947801348,0.10512990122447399,0.07941483707138769
Argentina_2017,0.8063583438059837,0.6335884132664508,0.8943712855670364,0.7321144300328456,0.7512650336213447,0.13060530342728738,0.12866441106514775
