Country_Year,GNI_per_cap,Labor_force,Life_expectancy,Population
Paraguay_2016,5390.0,3338124.0,73.836,6777872.0
Paraguay_2017,5390.0,3406346.0,73.992,6867062.0
Paraguay_2018,5620.0,3534912.0,74.131,6956071.0
Palestinian Territories_2015,3380.0,1120554.0,73.442,4270092.0
Palestinian Territories_2016,3460.0,1150479.0,73.589,4367088.0
Palestinian Territories_2017,3520.0,1190006.0,73.74,4454805.0
Palestinian Territories_2018,3710.0,1214123.0,73.895,4569087.0
Qatar_2015,72690.0,1952246.0,79.758,2565710.0
Qatar_2016,64010.0,2004463.0,79.868,2654374.0
Qatar_2017,58610.0,2046136.0,79.98100000000001,2724724.0
Qatar_2018,61150.0,2085366.0,80.1,2781677.0
Romania_2015,9650.0,9114728.0,74.9121951219512,19815616.0
Romania_2016,9650.0,8952240.0,75.209756097561,19702267.0
Romania_2017,10110.0,9108470.0,75.30975609756099,19587290.0
Romania_2018,11430.0,9054882.0,75.35853658536591,19472545.0
Russia_2015,11780.0,75015705.0,71.1834146341463,144096870.0
Russia_2016,9730.0,74939907.0,71.6512195121951,144342396.0
Russia_2017,9210.0,74184005.0,72.4319512195122,144496740.0
Russia_2018,10250.0,73825998.0,72.6573170731707,144477860.0
Rwanda_2015,750.0,5668191.0,67.45,11369071.0
Rwanda_2016,750.0,5837087.0,67.93,11668818.0
Rwanda_2017,740.0,6007191.0,68.34100000000001,11980937.0
Rwanda_2018,780.0,6178259.0,68.7,12301939.0
Saudi Arabia_2015,23710.0,13185854.0,74.65100000000001,31717667.0
Saudi Arabia_2016,21610.0,13607874.0,74.76100000000001,32442572.0
Saudi Arabia_2017,19990.0,13839522.0,74.874,33099147.0
Saudi Arabia_2018,21600.0,14019589.0,74.998,33699947.0
Sudan_2015,1690.0,11069998.0,64.429,38902950.0
Sudan_2016,1570.0,11378646.0,64.663,39847440.0
Sudan_2017,1320.0,11701253.0,64.881,40813396.0
Sudan_2018,840.0,12055376.0,65.095,41801533.0
Senegal_2015,1320.0,3763014.0,66.747,14578459.0
Senegal_2016,1270.0,3877928.0,67.078,14993528.0
Senegal_2017,1280.0,3997403.0,67.38,15419381.0
Senegal_2018,1400.0,4122004.0,67.665,15854360.0
Singapore_2015,53160.0,3451949.0,82.74390243902441,5535002.0
Singapore_2016,53020.0,3496292.0,82.84634146341459,5607283.0
Singapore_2017,54320.0,3497085.0,83.0951219512195,5612253.0
Singapore_2018,57900.0,3493801.0,83.14634146341459,5638676.0
Sierra Leone_2015,550.0,2423877.0,52.941,7171914.0
Sierra Leone_2016,490.0,2484881.0,53.443999999999996,7328838.0
Sierra Leone_2017,520.0,2548635.0,53.895,7488431.0
Sierra Leone_2018,490.0,2614289.0,54.309,7650154.0
El Salvador_2015,3440.0,2665700.0,72.41199999999999,6325124.0
El Salvador_2016,3510.0,2729547.0,72.64399999999999,6356143.0
El Salvador_2017,3600.0,2743560.0,72.872,6388122.0
El Salvador_2018,3820.0,2757089.0,73.096,6420744.0
Serbia_2015,5960.0,3096714.0,75.2878048780488,7095383.0
Serbia_2016,5690.0,3191611.0,75.6878048780488,7058322.0
Serbia_2017,5550.0,3219215.0,75.5390243902439,7020858.0
Serbia_2018,6400.0,3241884.0,75.890243902439,6982604.0
Suriname_2015,8690.0,207998.0,71.249,559143.0
Suriname_2016,6590.0,209869.0,71.358,564888.0
Slovakia_2015,17670.0,2739915.0,76.5634146341463,5423801.0
Slovakia_2016,16790.0,2763870.0,77.16585365853659,5430798.0
Slovakia_2017,16580.0,2762020.0,77.16585365853659,5439232.0
Slovakia_2018,18330.0,2754200.0,77.2658536585366,5446771.0
Slovenia_2015,22250.0,1010900.0,80.7756097560976,2063531.0
Slovenia_2016,21750.0,998363.0,81.1756097560976,2065042.0
Slovenia_2017,22110.0,1029116.0,81.0292682926829,2066388.0
Slovenia_2018,24530.0,1037571.0,81.37804878048779,2073894.0
Sweden_2015,58250.0,5186060.0,82.2048780487805,9799186.0
Sweden_2016,54370.0,5250661.0,82.3073170731707,9923085.0
Sweden_2017,52970.0,5336002.0,82.409756097561,10057698.0
Sweden_2018,55620.0,5411383.0,82.5585365853659,10175214.0
Swaziland_2015,4000.0,345515.0,55.358999999999995,1104044.0
Chad_2015,880.0,5221720.0,53.137,14110975.0
Chad_2016,730.0,5408037.0,53.438,14561666.0
Chad_2017,640.0,5597518.0,53.711999999999996,15016773.0
Chad_2018,680.0,5788876.0,53.977,15477751.0
Togo_2015,640.0,3315730.0,59.927,7323158.0
Togo_2016,610.0,3407416.0,60.22,7509952.0
Togo_2017,600.0,3501093.0,60.489,7698475.0
Togo_2018,660.0,3596555.0,60.76,7889094.0
Thailand_2015,5710.0,38916820.0,76.09100000000001,68714511.0
Thailand_2016,5700.0,38662091.0,76.403,68971331.0
Thailand_2017,5960.0,38490554.0,76.683,69209858.0
Thailand_2018,6600.0,38907795.0,76.931,69428524.0
Tajikistan_2015,1250.0,2286008.0,70.137,8454028.0
Tajikistan_2016,1100.0,2317977.0,70.39699999999999,8663579.0
Tajikistan_2017,1010.0,2365515.0,70.64699999999999,8880268.0
Tajikistan_2018,1000.0,2412933.0,70.87899999999999,9100837.0
Turkmenistan_2015,7030.0,2500114.0,67.704,5565287.0
Turkmenistan_2016,6820.0,2532460.0,67.835,5662372.0
Turkmenistan_2017,6380.0,2571947.0,67.956,5757669.0
Turkmenistan_2018,6740.0,2614576.0,68.07300000000001,5850908.0
Trinidad and Tobago_2015,19130.0,671319.0,72.941,1370328.0
Trinidad and Tobago_2016,16720.0,668436.0,73.1,1377564.0
Trinidad and Tobago_2017,15950.0,667691.0,73.245,1384072.0
Trinidad and Tobago_2018,16020.0,667593.0,73.38,1389858.0
Tunisia_2015,3960.0,3993436.0,75.922,11179949.0
Tunisia_2016,3750.0,4012596.0,76.115,11303946.0
Tunisia_2017,3520.0,4036987.0,76.31,11433443.0
Tunisia_2018,3500.0,4061682.0,76.505,11565204.0
